Text,Category
"Can you deliver some stuff tonight?",Trafficking
"Looking for some party supplies.",Trafficking
"Do you have the usual?",Trafficking
"Meeting at the usual spot for the package.",Trafficking
"How much for an ounce?",Trafficking
"Do you have anything for a big night?",Trafficking
"Is the package still available?",Trafficking
"Can you get some Molly?",Trafficking
"Any updates on the product we discussed?",Trafficking
"Looking to buy some weed.",Trafficking
"Are you selling anything tonight?",Trafficking
"Can you bring the stuff we talked about?",Trafficking
"I heard the usual is in town.",Trafficking
"Got any recommendations for a good time?",Trafficking
"Can we meet at the corner for the delivery?",Trafficking
"What's the address for the drop-off?",Trafficking
"Can you get me some ecstasy?",Trafficking
"Need some crystal tonight.",Trafficking
"Got any shrooms available?",Trafficking
"Can I grab some heroin?",Trafficking
"Want to score some coke?",Trafficking
"Looking for some ice.",Trafficking
"Do you know where I can find some ketamine?",Trafficking
"Can you hook me up with some bud?",Trafficking
"How's the weather today?",Not Trafficking
"Are there any good restaurants nearby?",Not Trafficking
"What's the stock price of Google?",Not Trafficking
"I need a taxi to the airport.",Not Trafficking
"Is there any discount on electronics?",Not Trafficking
"Want to grab a coffee later?",Not Trafficking
"Can you tell me about the latest movies?",Not Trafficking
"How do I cook this recipe?",Not Trafficking
"Where can I buy groceries?",Not Trafficking
"Are there jobs available in healthcare?",Not Trafficking
"What time is the meeting scheduled?",Not Trafficking
"Have you read any good books lately?",Not Trafficking
"Where can I find a good mechanic?",Not Trafficking
"Is there a concert happening this weekend?",Not Trafficking
"How was your weekend?",Not Trafficking
"Looking for recommendations for vacation spots.",Not Trafficking
"Can I help you with anything else?",Not Trafficking
"Is there any news on the project deadline?",Not Trafficking
"What's your favorite place to eat?",Not Trafficking
"Want to join me for a workout?",Not Trafficking
"Have you seen the latest game scores?",Not Trafficking
"Do you have any plans for the holidays?",Not Trafficking
"Can we discuss the budget tomorrow?",Not Trafficking
"Let's plan a picnic in the park.",Not Trafficking
"Looking for a new phone plan.",Not Trafficking
"Can you recommend a good TV series?",Not Trafficking
"How do you stay motivated?",Not Trafficking
"Have you tried the new restaurant downtown?",Not Trafficking
"What's the best way to get to the airport?",Not Trafficking
"Are you free for dinner this week?",Not Trafficking
"Can you send me the presentation slides?",Not Trafficking
"Have you heard about the job opening?",Not Trafficking
"Do you know any good places for hiking?",Not Trafficking
